

192.168.54.1|October 30, 2013, 1:55 pm|Enters Poll
192.168.54.1|October 30, 2013, 1:58 pm|Enters Poll
192.168.54.1|October 30, 2013, 1:59 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:00 pm|Clicked vote button without choosing an item
192.168.54.1|October 30, 2013, 2:00 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:00 pm|Clicked vote button without choosing an item
192.168.54.1|October 30, 2013, 2:00 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:03 pm|Clicked vote button without choosing an item
192.168.54.1|October 30, 2013, 2:03 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:03 pm|Vote received on Yes
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:08 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:30 pm|Views results
192.168.54.1|October 30, 2013, 2:31 pm|Views results
192.168.54.1|October 30, 2013, 2:31 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:31 pm|Vote received on Yes
192.168.54.1|October 30, 2013, 2:31 pm|Views results
192.168.54.1|October 30, 2013, 2:31 pm|Enters Poll
192.168.54.1|October 30, 2013, 2:31 pm|Vote received on No
192.168.54.1|October 30, 2013, 2:32 pm|Views results
192.168.54.1|October 30, 2013, 2:32 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:24 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:24 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:24 pm|Vote received on Yes
UNKNOWN|October 31, 2013, 8:24 pm|Views results
UNKNOWN|October 31, 2013, 8:24 pm|Clicked vote button without choosing an item
UNKNOWN|October 31, 2013, 8:24 pm|Enters Poll
UNKNOWN|October 31, 2013, 8:25 pm|Vote received on Yes
37.201.193.62|September 10, 2015, 12:19 am|Enters admincenter
37.201.193.62|September 10, 2015, 12:25 am|New poll was created with question: Welches Thema für eine zukünftige Ausstellung im Neanderthal Museum würde Sie am meisten interessieren?
11.72.17.93|September 9, 2015, 10:32 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:33 pm|Clicked vote button without choosing an item
11.72.17.93|September 9, 2015, 10:33 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:34 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:35 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:36 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:39 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:41 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:45 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:46 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:47 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:48 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:49 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:50 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:50 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:51 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:53 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:54 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:54 pm|Clicked vote button without choosing an item
11.72.17.93|September 9, 2015, 10:54 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:54 pm|Vote received on Humanevolution
11.72.17.93|September 9, 2015, 10:54 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:54 pm|Vote received on Kindheit in der Steinzeit
11.72.17.93|September 9, 2015, 10:55 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:55 pm|Vote received on Archäologie der Eiszeit
11.72.17.93|September 9, 2015, 10:56 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:56 pm|Clicked vote button without choosing an item
11.72.17.93|September 9, 2015, 10:56 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:56 pm|Vote received on Archäologie der Eiszeit
11.72.17.93|September 9, 2015, 10:59 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:59 pm|Enters Poll
11.72.17.93|September 9, 2015, 10:59 pm|Vote received on Kindheit in der Steinzeit
37.201.193.89|September 10, 2015, 9:12 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Clicked vote button without choosing an item
37.201.193.82|September 10, 2015, 9:49 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Clicked vote button without choosing an item
37.201.193.82|September 10, 2015, 9:49 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Clicked vote button without choosing an item
37.201.193.82|September 10, 2015, 9:49 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Clicked vote button without choosing an item
37.201.193.82|September 10, 2015, 9:49 am|Enters Poll
37.201.193.82|September 10, 2015, 9:49 am|Vote received on Archäologie der Eiszeit
37.201.193.12|September 10, 2015, 9:54 am|Enters Poll
37.201.193.12|September 10, 2015, 9:54 am|Enters Poll
37.201.193.12|September 10, 2015, 9:54 am|Clicked vote button without choosing an item
37.201.193.12|September 10, 2015, 9:54 am|Enters Poll
37.201.193.92|September 10, 2015, 10:26 am|Enters Poll
37.201.193.92|September 10, 2015, 10:26 am|Enters Poll
37.201.193.92|September 10, 2015, 10:26 am|Enters Poll
37.201.193.26|September 10, 2015, 10:41 am|Enters Poll
37.201.193.26|September 10, 2015, 10:41 am|Enters Poll
37.201.193.26|September 10, 2015, 10:45 am|Enters Poll
37.201.193.26|September 10, 2015, 10:47 am|Enters Poll
37.201.193.26|September 10, 2015, 10:47 am|Enters Poll
37.201.193.26|September 10, 2015, 10:47 am|Enters Poll
37.201.193.26|September 10, 2015, 10:47 am|Vote received on Kindheit in der Steinzeit
37.201.193.26|September 10, 2015, 10:47 am|Views results
37.201.193.26|September 10, 2015, 10:47 am|Views results
37.201.193.26|September 10, 2015, 10:48 am|Enters Poll
